pais,codigo_iso,nivel1_nombre,nivel1,nivel2_nombre,nivel2
México,MX,estado,Aguascalientes,municipio,Aguascalientes
México,MX,estado,Aguascalientes,municipio,Asientos
México,MX,estado,Aguascalientes,municipio,Calvillo
México,MX,estado,Aguascalientes,municipio,Cosío
México,MX,estado,Aguascalientes,municipio,Jesús María
México,MX,estado,Aguascalientes,municipio,Pabellón de Arteaga
México,MX,estado,Aguascalientes,municipio,Rincón de Romos
México,MX,estado,Aguascalientes,municipio,San José de Gracia
México,MX,estado,Aguascalientes,municipio,Tepezalá
México,MX,estado,Aguascalientes,municipio,El Llano
México,MX,estado,Baja California,municipio,Ensenada
México,MX,estado,Baja California,municipio,Mexicali
México,MX,estado,Baja California,municipio,Tecate
México,MX,estado,Baja California,municipio,Tijuana
México,MX,estado,Baja California,municipio,Playas de Rosarito
México,MX,estado,Baja California Sur,municipio,Comondú
México,MX,estado,Baja California Sur,municipio,Mulegé
México,MX,estado,Baja California Sur,municipio,La Paz
México,MX,estado,Baja California Sur,municipio,Los Cabos
México,MX,estado,Baja California Sur,municipio,Loreto
México,MX,estado,Campeche,municipio,Calkiní
México,MX,estado,Campeche,municipio,Campeche
México,MX,estado,Campeche,municipio,Carmen
México,MX,estado,Campeche,municipio,Champotón
México,MX,estado,Campeche,municipio,Hecelchakán
México,MX,estado,Campeche,municipio,Hopelchén
México,MX,estado,Campeche,municipio,Palizada
México,MX,estado,Campeche,municipio,Tenabo
México,MX,estado,Campeche,municipio,Escarcega
México,MX,estado,Campeche,municipio,Calakmul
México,MX,estado,Campeche,municipio,Candelaria
México,MX,estado,Chiapas,municipio,Acacoyagua
México,MX,estado,Chiapas,municipio,Acala
México,MX,estado,Chiapas,municipio,Acapetahua
México,MX,estado,Chiapas,municipio,Altamirano
México,MX,estado,Chiapas,municipio,Amatán
México,MX,estado,Chiapas,municipio,Amatenango de la Frontera
México,MX,estado,Chiapas,municipio,Amatenango del Valle
México,MX,estado,Chiapas,municipio,Angel Albino Corzo
México,MX,estado,Chiapas,municipio,Arriaga
México,MX,estado,Chiapas,municipio,Bejucal de Ocampo
México,MX,estado,Chiapas,municipio,Bella Vista
México,MX,estado,Chiapas,municipio,Berriozábal
México,MX,estado,Chiapas,municipio,Bochil
México,MX,estado,Chiapas,municipio,El Bosque
México,MX,estado,Chiapas,municipio,Cacahoatán
México,MX,estado,Chiapas,municipio,Catazajá
México,MX,estado,Chiapas,municipio,Chalchihuitán
México,MX,estado,Chiapas,municipio,Chamula
México,MX,estado,Chiapas,municipio,Chanal
México,MX,estado,Chiapas,municipio,Chapultenango
México,MX,estado,Chiapas,municipio,Chenalhó
México,MX,estado,Chiapas,municipio,Chiapa de Corzo
México,MX,estado,Chiapas,municipio,Chiapilla
México,MX,estado,Chiapas,municipio,Chicoasén
México,MX,estado,Chiapas,municipio,Chicomuselo
México,MX,estado,Chiapas,municipio,Chilón
México,MX,estado,Chiapas,municipio,Cintalapa
México,MX,estado,Chiapas,municipio,Coapilla
México,MX,estado,Chiapas,municipio,Comitán de Domínguez
México,MX,estado,Chiapas,municipio,La Concordia
México,MX,estado,Chiapas,municipio,Copainalá
México,MX,estado,Chiapas,municipio,Frontera Comalapa
México,MX,estado,Chiapas,municipio,Frontera Hidalgo
México,MX,estado,Chiapas,municipio,La Grandeza
México,MX,estado,Chiapas,municipio,Huehuetán
México,MX,estado,Chiapas,municipio,Huixtán
México,MX,estado,Chiapas,municipio,La Independencia
México,MX,estado,Chiapas,municipio,Ixhuatán
México,MX,estado,Chiapas,municipio,Ixtapangajoya
México,MX,estado,Chiapas,municipio,Jiquipilas
México,MX,estado,Chiapas,municipio,Jitotol
México,MX,estado,Chiapas,municipio,Juárez
México,MX,estado,Chiapas,municipio,Larráinzar
México,MX,estado,Chiapas,municipio,La Libertad
México,MX,estado,Chiapas,municipio,Mapastepec
México,MX,estado,Chiapas,municipio,Las Margaritas
México,MX,estado,Chiapas,municipio,Mazapa de Madero
México,MX,estado,Chiapas,municipio,Mazatán
México,MX,estado,Chiapas,municipio,Metapa
México,MX,estado,Chiapas,municipio,Mitontic
México,MX,estado,Chiapas,municipio,Motozintla
México,MX,estado,Chiapas,municipio,Nicolás Ruiz
México,MX,estado,Chiapas,municipio,Ocosingo
México,MX,estado,Chiapas,municipio,Ocotepec
México,MX,estado,Chiapas,municipio,Ocozocoautla de Espinosa
México,MX,estado,Chiapas,municipio,Ostuacán
México,MX,estado,Chiapas,municipio,Osumacinta
México,MX,estado,Chiapas,municipio,Oxchuc
México,MX,estado,Chiapas,municipio,Palenque
México,MX,estado,Chiapas,municipio,Pantelhó
México,MX,estado,Chiapas,municipio,Pantepec
México,MX,estado,Chiapas,municipio,Pichucalco
México,MX,estado,Chiapas,municipio,Pijijiapan
México,MX,estado,Chiapas,municipio,El Porvenir
México,MX,estado,Chiapas,municipio,Pueblo Nuevo Solistahuacán
México,MX,estado,Chiapas,municipio,Rayón
México,MX,estado,Chiapas,municipio,Reforma
México,MX,estado,Chiapas,municipio,Las Rosas
México,MX,estado,Chiapas,municipio,Sabanilla
México,MX,estado,Chiapas,municipio,Salto de Agua
México,MX,estado,Chiapas,municipio,San Cristóbal de las Casas
México,MX,estado,Chiapas,municipio,San Fernando
México,MX,estado,Chiapas,municipio,Siltepec
México,MX,estado,Chiapas,municipio,Simojovel
México,MX,estado,Chiapas,municipio,Sitalá
México,MX,estado,Chiapas,municipio,Socoltenango
México,MX,estado,Chiapas,municipio,Solosuchiapa
México,MX,estado,Chiapas,municipio,Soyaló
México,MX,estado,Chiapas,municipio,Suchiapa
México,MX,estado,Chiapas,municipio,Suchiate
México,MX,estado,Chiapas,municipio,Sunuapa
México,MX,estado,Chiapas,municipio,Tapachula
México,MX,estado,Chiapas,municipio,Tapalapa
México,MX,estado,Chiapas,municipio,Tapilula
México,MX,estado,Chiapas,municipio,Tecpatán
México,MX,estado,Chiapas,municipio,Tenejapa
México,MX,estado,Chiapas,municipio,Teopisca
México,MX,estado,Chiapas,municipio,Tila
México,MX,estado,Chiapas,municipio,Tonalá
México,MX,estado,Chiapas,municipio,Totolapa
México,MX,estado,Chiapas,municipio,La Trinitaria
México,MX,estado,Chiapas,municipio,Tumbalá
México,MX,estado,Chiapas,municipio,Tuxtla Gutiérrez
México,MX,estado,Chiapas,municipio,Tuxtla Chico
México,MX,estado,Chiapas,municipio,Tuzantán
México,MX,estado,Chiapas,municipio,Tzimol
México,MX,estado,Chiapas,municipio,Unión Juárez
México,MX,estado,Chiapas,municipio,Venustiano Carranza
México,MX,estado,Chiapas,municipio,Villa Comaltitlán
México,MX,estado,Chiapas,municipio,Villa Corzo
México,MX,estado,Chiapas,municipio,Villaflores
México,MX,estado,Chiapas,municipio,Yajalón
México,MX,estado,Chiapas,municipio,San Lucas
México,MX,estado,Chiapas,municipio,Zinacantán
México,MX,estado,Chiapas,municipio,San Juan Cancuc
México,MX,estado,Chiapas,municipio,Aldama
México,MX,estado,Chiapas,municipio,Benemérito de las Américas
México,MX,estado,Chiapas,municipio,Maravilla Tenejapa
México,MX,estado,Chiapas,municipio,Marqués de Comillas
México,MX,estado,Chihuahua,municipio,Ahumada
México,MX,estado,Chihuahua,municipio,Aldama
México,MX,estado,Chihuahua,municipio,Allende
México,MX,estado,Chihuahua,municipio,Aquiles Serdán
México,MX,estado,Chihuahua,municipio,Ascensión
México,MX,estado,Chihuahua,municipio,Bachíniva
México,MX,estado,Chihuahua,municipio,Balleza
México,MX,estado,Chihuahua,municipio,Batopilas
México,MX,estado,Chihuahua,municipio,Bocoyna
México,MX,estado,Chihuahua,municipio,Buenaventura
México,MX,estado,Chihuahua,municipio,Camargo
México,MX,estado,Chihuahua,municipio,Carichí
México,MX,estado,Chihuahua,municipio,Casas Grandes
México,MX,estado,Chihuahua,municipio,Coronado
México,MX,estado,Chihuahua,municipio,Coyame del Sotol
México,MX,estado,Chihuahua,municipio,La Cruz
México,MX,estado,Chihuahua,municipio,Cuauhtémoc
México,MX,estado,Chihuahua,municipio,Cusihuirachi
México,MX,estado,Chihuahua,municipio,Chihuahua
México,MX,estado,Chihuahua,municipio,Chínipas
México,MX,estado,Chihuahua,municipio,Delicias
México,MX,estado,Chihuahua,municipio,Dr. Belisario Domínguez
México,MX,estado,Chihuahua,municipio,Galeana
México,MX,estado,Chihuahua,municipio,Santa Isabel
México,MX,estado,Chihuahua,municipio,Gómez Farías
México,MX,estado,Chihuahua,municipio,Gran Morelos
México,MX,estado,Chihuahua,municipio,Guachochi
México,MX,estado,Chihuahua,municipio,Guadalupe
México,MX,estado,Chihuahua,municipio,Guadalupe y Calvo
México,MX,estado,Chihuahua,municipio,Guazapares
México,MX,estado,Chihuahua,municipio,Guerrero
México,MX,estado,Chihuahua,municipio,Hidalgo del Parral
México,MX,estado,Chihuahua,municipio,Huejotitán
México,MX,estado,Chihuahua,municipio,Ignacio Zaragoza
México,MX,estado,Chihuahua,municipio,Janos
México,MX,estado,Chihuahua,municipio,Jiménez
México,MX,estado,Chihuahua,municipio,Juárez
México,MX,estado,Chihuahua,municipio,Julimes
México,MX,estado,Chihuahua,municipio,López
México,MX,estado,Chihuahua,municipio,Madera
México,MX,estado,Chihuahua,municipio,Maguarichi
México,MX,estado,Chihuahua,municipio,Manuel Benavides
México,MX,estado,Chihuahua,municipio,Matachí
México,MX,estado,Chihuahua,municipio,Matamoros
México,MX,estado,Chihuahua,municipio,Meoqui
México,MX,estado,Chihuahua,municipio,Morelos
México,MX,estado,Chihuahua,municipio,Moris
México,MX,estado,Chihuahua,municipio,Namiquipa
México,MX,estado,Chihuahua,municipio,Nonoava
México,MX,estado,Chihuahua,municipio,Nuevo Casas Grandes
México,MX,estado,Chihuahua,municipio,Ocampo
México,MX,estado,Chihuahua,municipio,Ojinaga
México,MX,estado,Chihuahua,municipio,Práxedis G. Guerrero
México,MX,estado,Chihuahua,municipio,Riva Palacio
México,MX,estado,Chihuahua,municipio,Rosales
México,MX,estado,Chihuahua,municipio,Rosario
México,MX,estado,Chihuahua,municipio,San Francisco de Borja
México,MX,estado,Chihuahua,municipio,San Francisco de Conchos
México,MX,estado,Chihuahua,municipio,San Francisco del Oro
México,MX,estado,Chihuahua,municipio,Santa Bárbara
México,MX,estado,Chihuahua,municipio,Satevó
México,MX,estado,Chihuahua,municipio,Saucillo
México,MX,estado,Chihuahua,municipio,Temósachic
México,MX,estado,Chihuahua,municipio,El Tule
México,MX,estado,Chihuahua,municipio,Urique
México,MX,estado,Chihuahua,municipio,Uruachi
México,MX,estado,Chihuahua,municipio,Valle de Zaragoza
México,MX,estado,Coahuila,municipio,Abasolo
México,MX,estado,Coahuila,municipio,Acuña
México,MX,estado,Coahuila,municipio,Allende
México,MX,estado,Coahuila,municipio,Arteaga
México,MX,estado,Coahuila,municipio,Candela
México,MX,estado,Coahuila,municipio,Castaños
México,MX,estado,Coahuila,municipio,Cuatro Ciénegas
México,MX,estado,Coahuila,municipio,Escobedo
México,MX,estado,Coahuila,municipio,Francisco I. Madero
México,MX,estado,Coahuila,municipio,Frontera
México,MX,estado,Coahuila,municipio,General Cepeda
México,MX,estado,Coahuila,municipio,Guerrero
México,MX,estado,Coahuila,municipio,Hidalgo
México,MX,estado,Coahuila,municipio,Jiménez
México,MX,estado,Coahuila,municipio,Juárez
México,MX,estado,Coahuila,municipio,Lamadrid
México,MX,estado,Coahuila,municipio,Matamoros
México,MX,estado,Coahuila,municipio,Monclova
México,MX,estado,Coahuila,municipio,Morelos
México,MX,estado,Coahuila,municipio,Múzquiz
México,MX,estado,Coahuila,municipio,Nadadores
México,MX,estado,Coahuila,municipio,Nava
México,MX,estado,Coahuila,municipio,Ocampo
México,MX,estado,Coahuila,municipio,Parras
México,MX,estado,Coahuila,municipio,Piedras Negras
México,MX,estado,Coahuila,municipio,Progreso
México,MX,estado,Coahuila,municipio,Ramos Arizpe
México,MX,estado,Coahuila,municipio,Sabinas
México,MX,estado,Coahuila,municipio,Sacramento
México,MX,estado,Coahuila,municipio,Saltillo
México,MX,estado,Coahuila,municipio,San Buenaventura
México,MX,estado,Coahuila,municipio,San Juan de Sabinas
México,MX,estado,Coahuila,municipio,San Pedro
México,MX,estado,Coahuila,municipio,Sierra Mojada
México,MX,estado,Coahuila,municipio,Torreón
México,MX,estado,Coahuila,municipio,Viesca
México,MX,estado,Coahuila,municipio,Villa Unión
México,MX,estado,Coahuila,municipio,Zaragoza
México,MX,estado,Colima,municipio,Armería
México,MX,estado,Colima,municipio,Colima
México,MX,estado,Colima,municipio,Comala
México,MX,estado,Colima,municipio,Coquimatlán
México,MX,estado,Colima,municipio,Cuauhtémoc
México,MX,estado,Colima,municipio,Ixtlahuacán
México,MX,estado,Colima,municipio,Manzanillo
México,MX,estado,Colima,municipio,Minatitlán
México,MX,estado,Colima,municipio,Tecomán
México,MX,estado,Colima,municipio,Villa de Álvarez
México,MX,estado,Durango,municipio,Canatlán
México,MX,estado,Durango,municipio,Canelas
México,MX,estado,Durango,municipio,Coneto de Comonfort
México,MX,estado,Durango,municipio,Cuencamé
México,MX,estado,Durango,municipio,Durango
México,MX,estado,Durango,municipio,General Simón Bolívar
México,MX,estado,Durango,municipio,Gómez Palacio
México,MX,estado,Durango,municipio,Guadalupe Victoria
México,MX,estado,Durango,municipio,Guanaceví
México,MX,estado,Durango,municipio,Hidalgo
México,MX,estado,Durango,municipio,Indé
México,MX,estado,Durango,municipio,Lerdo
México,MX,estado,Durango,municipio,Mapimí
México,MX,estado,Durango,municipio,Mezquital
México,MX,estado,Durango,municipio,Nazas
México,MX,estado,Durango,municipio,Nombre de Dios
México,MX,estado,Durango,municipio,Ocampo
México,MX,estado,Durango,municipio,El Oro
México,MX,estado,Durango,municipio,Otáez
México,MX,estado,Durango,municipio,Pánuco de Coronado
México,MX,estado,Durango,municipio,Peñón Blanco
México,MX,estado,Durango,municipio,Poanas
México,MX,estado,Durango,municipio,Pueblo Nuevo
México,MX,estado,Durango,municipio,Rodeo
México,MX,estado,Durango,municipio,San Bernardo
México,MX,estado,Durango,municipio,San Dimas
México,MX,estado,Durango,municipio,San Juan de Guadalupe
México,MX,estado,Durango,municipio,San Juan del Río
México,MX,estado,Durango,municipio,San Luis del Cordero
México,MX,estado,Durango,municipio,San Pedro del Gallo
México,MX,estado,Durango,municipio,Santa Clara
México,MX,estado,Durango,municipio,Santiago Papasquiaro
México,MX,estado,Durango,municipio,Súchil
México,MX,estado,Durango,municipio,Tamazula
México,MX,estado,Durango,municipio,Tepehuanes
México,MX,estado,Durango,municipio,Tlahualilo
México,MX,estado,Durango,municipio,Topia
México,MX,estado,Durango,municipio,Vicente Guerrero
México,MX,estado,Durango,municipio,Nuevo Ideal
México,MX,estado,Guanajuato,municipio,Abasolo
México,MX,estado,Guanajuato,municipio,Acámbaro
México,MX,estado,Guanajuato,municipio,San Miguel de Allende
México,MX,estado,Guanajuato,municipio,Apaseo el Alto
México,MX,estado,Guanajuato,municipio,Apaseo el Grande
México,MX,estado,Guanajuato,municipio,Arapahoe
México,MX,estado,Guanajuato,municipio,Celaya
México,MX,estado,Guanajuato,municipio,Manuel Doblado
México,MX,estado,Guanajuato,municipio,Comonfort
México,MX,estado,Guanajuato,municipio,Coroneo
México,MX,estado,Guanajuato,municipio,Cortazar
México,MX,estado,Guanajuato,municipio,Cuerámaro
México,MX,estado,Guanajuato,municipio,Doctor Mora
México,MX,estado,Guanajuato,municipio,Dolores Hidalgo
México,MX,estado,Guanajuato,municipio,Guanajuato
México,MX,estado,Guanajuato,municipio,Huanímaro
México,MX,estado,Guanajuato,municipio,Irapuato
México,MX,estado,Guanajuato,municipio,Jaral del Progreso
México,MX,estado,Guanajuato,municipio,Jerécuaro
México,MX,estado,Guanajuato,municipio,León
México,MX,estado,Guanajuato,municipio,Moroleón
México,MX,estado,Guanajuato,municipio,Ocampo
México,MX,estado,Guanajuato,municipio,Pénjamo
México,MX,estado,Guanajuato,municipio,Pueblo Nuevo
México,MX,estado,Guanajuato,municipio,Purísima del Rincón
México,MX,estado,Guanajuato,municipio,Romita
México,MX,estado,Guanajuato,municipio,Salamanca
México,MX,estado,Guanajuato,municipio,Salvatierra
México,MX,estado,Guanajuato,municipio,San Diego de la Unión
México,MX,estado,Guanajuato,municipio,San Felipe
México,MX,estado,Guanajuato,municipio,San Francisco del Rincón
México,MX,estado,Guanajuato,municipio,San José Iturbide
México,MX,estado,Guanajuato,municipio,San Luis de la Paz
México,MX,estado,Guanajuato,municipio,Santa Catarina
México,MX,estado,Guanajuato,municipio,Santa Cruz de Juventino Rosas
México,MX,estado,Guanajuato,municipio,Santiago Maravatío
México,MX,estado,Guanajuato,municipio,Silao
México,MX,estado,Guanajuato,municipio,Tarandacuao
México,MX,estado,Guanajuato,municipio,Tarimoro
México,MX,estado,Guanajuato,municipio,Tierra Blanca
México,MX,estado,Guanajuato,municipio,Uriangato
México,MX,estado,Guanajuato,municipio,Valle de Santiago
México,MX,estado,Guanajuato,municipio,Victoria
México,MX,estado,Guanajuato,municipio,Villagrán
México,MX,estado,Guanajuato,municipio,Xichú
México,MX,estado,Guanajuato,municipio,Yuriria
México,MX,estado,Guerrero,municipio,Acapulco de Juárez
México,MX,estado,Guerrero,municipio,Ahuacuotzingo
México,MX,estado,Guerrero,municipio,Ajuchitlán del Progreso
México,MX,estado,Guerrero,municipio,Alcozauca de Guerrero
México,MX,estado,Guerrero,municipio,Alpoyeca
México,MX,estado,Guerrero,municipio,Apaxtla
México,MX,estado,Guerrero,municipio,Arcelia
México,MX,estado,Guerrero,municipio,Atenango del Río
México,MX,estado,Guerrero,municipio,Atlamajalcingo del Monte
México,MX,estado,Guerrero,municipio,Atlixtac
México,MX,estado,Guerrero,municipio,Atoyac de Álvarez
México,MX,estado,Guerrero,municipio,Ayutla de los Libres
México,MX,estado,Guerrero,municipio,Azoyú
México,MX,estado,Guerrero,municipio,Benito Juárez
México,MX,estado,Guerrero,municipio,Buenavista de Cuéllar
México,MX,estado,Guerrero,municipio,Coahuayutla de José María Izazaga
México,MX,estado,Guerrero,municipio,Cocula
México,MX,estado,Guerrero,municipio,Copala
México,MX,estado,Guerrero,municipio,Copanatoyac
México,MX,estado,Guerrero,municipio,Coyuca de Benítez
México,MX,estado,Guerrero,municipio,Coyuca de Catalán
México,MX,estado,Guerrero,municipio,Cuajinicuilapa
México,MX,estado,Guerrero,municipio,Cualác
México,MX,estado,Guerrero,municipio,Cuautepec
México,MX,estado,Guerrero,municipio,Cuetzala del Progreso
México,MX,estado,Guerrero,municipio,Cutzamala de Pinzón
México,MX,estado,Guerrero,municipio,Chilapa de Álvarez
México,MX,estado,Guerrero,municipio,Chilpancingo de los Bravo
México,MX,estado,Guerrero,municipio,Florencio Villarreal
México,MX,estado,Guerrero,municipio,General Canuto A. Neri
México,MX,estado,Guerrero,municipio,General Heliodoro Castillo
México,MX,estado,Guerrero,municipio,Huamuxtitlán
México,MX,estado,Guerrero,municipio,Huitzuco de los Figueroa
México,MX,estado,Guerrero,municipio,Iguala de la Independencia
México,MX,estado,Guerrero,municipio,Igualapa
México,MX,estado,Guerrero,municipio,Ixcateopan de Cuauhtémoc
México,MX,estado,Guerrero,municipio,Zihuatanejo de Azueta
México,MX,estado,Guerrero,municipio,Juan R. Escudero
México,MX,estado,Guerrero,municipio,Leonardo Bravo
México,MX,estado,Guerrero,municipio,Malinaltepec
México,MX,estado,Guerrero,municipio,Mártir de Cuilapán
México,MX,estado,Guerrero,municipio,Metlatónoc
México,MX,estado,Guerrero,municipio,Mochitlán
México,MX,estado,Guerrero,municipio,Olinalá
México,MX,estado,Guerrero,municipio,Ometepec
México,MX,estado,Guerrero,municipio,Pedro Ascencio Alquisiras
México,MX,estado,Guerrero,municipio,Petatlán
México,MX,estado,Guerrero,municipio,Pilcaya
México,MX,estado,Guerrero,municipio,Pungarabato
México,MX,estado,Guerrero,municipio,Quechultenango
México,MX,estado,Guerrero,municipio,San Luis Acatlán
México,MX,estado,Guerrero,municipio,San Marcos
México,MX,estado,Guerrero,municipio,San Miguel Totolapan
México,MX,estado,Guerrero,municipio,Taxco de Alarcón
México,MX,estado,Guerrero,municipio,Tecoanapa
México,MX,estado,Guerrero,municipio,Técpan de Galeana
México,MX,estado,Guerrero,municipio,Teloloapan
México,MX,estado,Guerrero,municipio,Tepecoacuilco de Trujano
México,MX,estado,Guerrero,municipio,Tetipac
México,MX,estado,Guerrero,municipio,Tixtla de Guerrero
México,MX,estado,Guerrero,municipio,Tlacoachistlahuaca
México,MX,estado,Guerrero,municipio,Tlacoapa
México,MX,estado,Guerrero,municipio,Tlalchapa
México,MX,estado,Guerrero,municipio,Tlalixtaquilla de Tolentino
México,MX,estado,Guerrero,municipio,Tlapa de Comonfort
México,MX,estado,Guerrero,municipio,Tlapehuala
México,MX,estado,Guerrero,municipio,La Unión de Isidoro Montes de Oca
México,MX,estado,Guerrero,municipio,Xalpatláhuac
México,MX,estado,Guerrero,municipio,Xochihuehuetlán
México,MX,estado,Guerrero,municipio,Xochistlahuaca
México,MX,estado,Guerrero,municipio,Zapotitlán Tablas
México,MX,estado,Guerrero,municipio,Zirándaro
México,MX,estado,Guerrero,municipio,Zitlala
México,MX,estado,Hidalgo,municipio,Acatlán
México,MX,estado,Hidalgo,municipio,Acaxochitlán
México,MX,estado,Hidalgo,municipio,Actopan
México,MX,estado,Hidalgo,municipio,Agua Blanca de Iturbide
México,MX,estado,Hidalgo,municipio,Ajacuba
México,MX,estado,Hidalgo,municipio,Alfajayucan
México,MX,estado,Hidalgo,municipio,Almoloya
México,MX,estado,Hidalgo,municipio,Apan
México,MX,estado,Hidalgo,municipio,Atitalaquia
México,MX,estado,Hidalgo,municipio,Atlapexco
México,MX,estado,Hidalgo,municipio,Atotonilco de Tula
México,MX,estado,Hidalgo,municipio,Atotonilco el Grande
México,MX,estado,Hidalgo,municipio,Calnali
México,MX,estado,Hidalgo,municipio,Cardonal
México,MX,estado,Hidalgo,municipio,Cuautepec de Hinojosa
México,MX,estado,Hidalgo,municipio,Chapantongo
México,MX,estado,Hidalgo,municipio,Chapulhuacán
México,MX,estado,Hidalgo,municipio,Chilcuautla
México,MX,estado,Hidalgo,municipio,Eloxochitlán
México,MX,estado,Hidalgo,municipio,Emiliano Zapata
México,MX,estado,Hidalgo,municipio,Epazoyucan
México,MX,estado,Hidalgo,municipio,Francisco I. Madero
México,MX,estado,Hidalgo,municipio,Huasca de Ocampo
México,MX,estado,Hidalgo,municipio,Huautla
México,MX,estado,Hidalgo,municipio,Huazalingo
México,MX,estado,Hidalgo,municipio,Huehuetla
México,MX,estado,Hidalgo,municipio,Huejutla de Reyes
México,MX,estado,Hidalgo,municipio,Huichapan
México,MX,estado,Hidalgo,municipio,Ixmiquilpan
México,MX,estado,Hidalgo,municipio,Jacala de Ledezma
México,MX,estado,Hidalgo,municipio,Jaltocán
México,MX,estado,Hidalgo,municipio,Juárez Hidalgo
México,MX,estado,Hidalgo,municipio,Lolotla
México,MX,estado,Hidalgo,municipio,Metepec
México,MX,estado,Hidalgo,municipio,San Agustín Metzquititlán
México,MX,estado,Hidalgo,municipio,Metzitlán
México,MX,estado,Hidalgo,municipio,Mineral de la Reforma
México,MX,estado,Hidalgo,municipio,Mineral del Chico
México,MX,estado,Hidalgo,municipio,Mineral del Monte
México,MX,estado,Hidalgo,municipio,Mixquiahuala de Juárez
México,MX,estado,Hidalgo,municipio,Molango de Escamilla
México,MX,estado,Hidalgo,municipio,Nicolás Flores
México,MX,estado,Hidalgo,municipio,Nopala de Villagrán
México,MX,estado,Hidalgo,municipio,Omitlán de Juárez
México,MX,estado,Hidalgo,municipio,San Felipe Orizatlán
México,MX,estado,Hidalgo,municipio,Pacula
México,MX,estado,Hidalgo,municipio,Pachuca de Soto
México,MX,estado,Hidalgo,municipio,Pisaflores
México,MX,estado,Hidalgo,municipio,Progreso de Obregón
México,MX,estado,Hidalgo,municipio,Mineral de la Paz
México,MX,estado,Hidalgo,municipio,San Agustín Tlaxiaca
México,MX,estado,Hidalgo,municipio,San Bartolo Tutotepec
México,MX,estado,Hidalgo,municipio,San Salvador
México,MX,estado,Hidalgo,municipio,Santiago de Anaya
México,MX,estado,Hidalgo,municipio,Santiago Tulantepec de Lugo Guerrero
México,MX,estado,Hidalgo,municipio,Singuilucan
México,MX,estado,Hidalgo,municipio,Tasquillo
México,MX,estado,Hidalgo,municipio,Tecozautla
México,MX,estado,Hidalgo,municipio,Tenango de Doria
México,MX,estado,Hidalgo,municipio,Tepeapulco
México,MX,estado,Hidalgo,municipio,Tepehuacán de Guerrero
México,MX,estado,Hidalgo,municipio,Tepeji del Río de Ocampo
México,MX,estado,Hidalgo,municipio,Tepetitlán
México,MX,estado,Hidalgo,municipio,Tetepango
México,MX,estado,Hidalgo,municipio,Villa de Tezontepec
México,MX,estado,Hidalgo,municipio,Tezontepec de Aldama
México,MX,estado,Hidalgo,municipio,Tianguistengo
México,MX,estado,Hidalgo,municipio,Tizayuca
México,MX,estado,Hidalgo,municipio,Tlahuelilpan
México,MX,estado,Hidalgo,municipio,Tlahuiltepa
México,MX,estado,Hidalgo,municipio,Tlanalapa
México,MX,estado,Hidalgo,municipio,Tlanchinol
México,MX,estado,Hidalgo,municipio,Tlaxcoapan
México,MX,estado,Hidalgo,municipio,Tolcayuca
México,MX,estado,Hidalgo,municipio,Tula de Allende
México,MX,estado,Hidalgo,municipio,Tulancingo de Bravo
México,MX,estado,Hidalgo,municipio,Xochiatipan
México,MX,estado,Hidalgo,municipio,Xochicoatlán
México,MX,estado,Hidalgo,municipio,Yahualica
México,MX,estado,Hidalgo,municipio,Zacualtipán de Ángeles
México,MX,estado,Hidalgo,municipio,Zapotlán de Juárez
México,MX,estado,Hidalgo,municipio,Zempoala
México,MX,estado,Hidalgo,municipio,Zimapán
México,MX,estado,Jalisco,municipio,Acatic
México,MX,estado,Jalisco,municipio,Acatlán de Juárez
México,MX,estado,Jalisco,municipio,Ahualulco de Mercado
México,MX,estado,Jalisco,municipio,Amacueca
México,MX,estado,Jalisco,municipio,Amatitán
México,MX,estado,Jalisco,municipio,Ameca
México,MX,estado,Jalisco,municipio,San Juanito de Escobedo
México,MX,estado,Jalisco,municipio,Arandas
México,MX,estado,Jalisco,municipio,El Arenal
México,MX,estado,Jalisco,municipio,Atemajac de Brizuela
México,MX,estado,Jalisco,municipio,Atengo
México,MX,estado,Jalisco,municipio,Atenguillo
México,MX,estado,Jalisco,municipio,Atotonilco el Alto
México,MX,estado,Jalisco,municipio,Atoyac
México,MX,estado,Jalisco,municipio,Autlán de Navarro
México,MX,estado,Jalisco,municipio,Ayotlán
México,MX,estado,Jalisco,municipio,Ayutla
México,MX,estado,Jalisco,municipio,La Barca
México,MX,estado,Jalisco,municipio,Bolaños
México,MX,estado,Jalisco,municipio,Cabo Corrientes
México,MX,estado,Jalisco,municipio,Casimiro Castillo
México,MX,estado,Jalisco,municipio,Cihuatlán
México,MX,estado,Jalisco,municipio,Zapotlán el Grande
México,MX,estado,Jalisco,municipio,Cocula
México,MX,estado,Jalisco,municipio,Colotlán
México,MX,estado,Jalisco,municipio,Concepción de Buenos Aires
México,MX,estado,Jalisco,municipio,Cuautitlán de García Barragán
México,MX,estado,Jalisco,municipio,Cuautla
México,MX,estado,Jalisco,municipio,Cuquío
México,MX,estado,Jalisco,municipio,Chapala
México,MX,estado,Jalisco,municipio,Chimaltitán
México,MX,estado,Jalisco,municipio,Chiquilistlán
México,MX,estado,Jalisco,municipio,Degollado
México,MX,estado,Jalisco,municipio,Ejutla
México,MX,estado,Jalisco,municipio,Encarnación de Díaz
México,MX,estado,Jalisco,municipio,Etzatlán
México,MX,estado,Jalisco,municipio,El Grullo
México,MX,estado,Jalisco,municipio,Guachinango
